Job,Machine,Move,Start,Finish
0,0,0.00,0.50,9.00
0,1,9.00,9.50,14.00
0,2,14.00,14.50,22.00
0,3,22.00,22.50,27.00
0,4,27.00,27.50,34.00
0,5,34.00,34.50,34.00
0,6,34.00,34.50,66.00
1,0,9.00,9.50,15.00
1,1,15.00,15.50,20.00
1,2,22.00,22.50,30.00
1,3,30.00,30.50,37.00
1,4,37.00,37.50,46.00
1,5,46.00,46.50,46.00
1,7,46.00,46.50,78.00
2,0,15.00,15.50,24.00
2,1,24.00,24.50,29.00
2,2,30.00,30.50,36.00
2,3,37.00,37.50,42.00
2,4,46.00,46.50,51.00
2,5,51.00,51.50,51.00
2,8,51.00,51.50,84.00
3,0,24.00,24.50,32.00
3,1,32.00,32.50,37.00
3,2,37.00,37.50,45.00
3,3,46.00,46.50,54.00
3,4,54.00,54.50,60.00
3,5,60.00,60.50,66.00
3,6,66.00,66.50,100.00
4,0,32.00,32.50,37.00
4,1,37.00,37.50,43.00
4,2,46.00,46.50,54.00
4,3,54.00,54.50,63.00
4,4,63.00,63.50,72.00
4,5,72.00,72.50,78.00
4,7,78.00,78.50,113.00
5,0,37.00,37.50,44.00
5,1,46.00,46.50,53.00
5,2,54.00,54.50,61.00
5,3,63.00,63.50,69.00
5,4,72.00,72.50,77.00
5,5,77.00,77.50,84.00
5,8,84.00,84.50,118.00
6,0,46.00,46.50,54.00
6,1,54.00,54.50,61.00
6,2,63.00,63.50,72.00
6,3,72.00,72.50,79.00
6,4,79.00,79.50,86.00
6,5,86.00,86.50,100.00
6,6,100.00,100.50,132.00
7,0,54.00,54.50,61.00
7,1,63.00,63.50,68.00
7,2,72.00,72.50,78.00
7,3,79.00,79.50,87.00
7,4,87.00,87.50,95.00
7,5,95.00,95.50,113.00
7,7,113.00,113.50,143.00
8,0,63.00,63.50,69.00
8,1,72.00,72.50,78.00
8,2,79.00,79.50,85.00
8,3,87.00,87.50,96.00
8,4,96.00,96.50,102.00
8,5,102.00,102.50,118.00
8,8,118.00,118.50,149.00
9,0,72.00,72.50,77.00
9,1,79.00,79.50,88.00
9,2,88.00,88.50,95.00
9,3,96.00,96.50,104.00
9,4,104.00,104.50,110.00
9,5,110.00,110.50,132.00
9,6,132.00,132.50,171.00
