Job,Machine,Created,Move,Setup,Start,Finish,JobSetup,MachineSetup
0,0,0.00,0.00,0.50,6.00,25.47,4,0
1,1,5.39,5.39,5.89,7.39,22.77,0,0
2,2,7.21,7.21,7.71,11.21,22.78,2,0
3,3,8.93,8.93,9.43,13.93,27.48,3,0
4,4,9.64,9.64,10.14,15.64,31.55,4,0
5,4,10.01,31.55,32.05,34.55,53.12,5,4
6,1,14.83,22.77,23.27,24.77,41.88,0,0
7,3,18.42,101.17,101.67,104.17,121.61,1,2
8,2,20.19,22.78,23.28,25.78,36.34,3,2
9,3,20.91,27.48,27.98,31.48,47.42,5,3
10,0,24.74,25.47,25.97,28.47,42.89,5,4
11,1,30.79,70.16,70.66,72.16,85.13,0,0
12,1,31.34,41.88,42.38,43.88,55.62,0,0
13,2,33.34,36.34,36.84,39.34,51.34,4,3
14,0,35.19,42.89,43.39,44.89,58.76,5,5
15,2,42.03,97.85,98.35,99.85,117.01,1,1
16,4,42.43,53.12,53.62,59.12,73.08,1,5
17,1,43.31,55.62,56.12,57.62,70.16,0,0
18,3,46.51,47.42,47.92,51.42,62.58,3,5
19,2,48.66,51.34,51.84,53.34,68.44,4,4
20,4,52.46,73.08,73.58,75.08,90.73,1,1
21,0,54.74,58.76,59.26,62.76,73.82,3,5
22,2,56.01,68.44,68.94,72.44,83.66,2,4
23,3,62.33,62.58,63.08,64.58,81.10,3,3
24,0,67.39,73.82,74.32,75.82,91.39,3,3
25,3,71.27,81.10,81.60,84.10,101.17,2,3
26,1,74.72,114.48,114.98,116.48,132.01,0,0
27,4,75.13,321.50,322.00,323.50,343.11,4,4
28,4,77.18,90.73,91.23,92.73,105.83,1,1
29,4,78.78,300.84,301.34,302.84,321.50,4,4
30,1,78.82,85.13,85.63,87.13,98.13,0,0
31,2,81.05,83.66,84.16,86.66,97.85,1,2
32,1,81.46,98.13,98.63,100.13,114.48,0,0
33,3,83.09,343.02,343.52,345.02,362.24,5,5
34,4,85.22,105.83,106.33,107.83,127.58,1,1
35,4,89.29,232.48,232.98,234.48,247.69,4,4
36,0,90.18,91.39,91.89,93.39,105.40,3,3
37,0,102.83,296.38,296.88,298.38,316.48,4,4
38,1,103.16,132.01,132.51,134.01,150.27,0,0
39,0,103.96,105.40,105.90,107.40,125.34,3,3
40,4,109.57,127.58,128.08,130.58,146.50,2,1
41,4,111.28,146.50,147.00,148.50,164.98,2,2
42,0,111.85,125.34,125.84,127.34,144.87,3,3
43,2,112.15,117.01,117.51,119.01,132.91,1,1
44,2,114.00,327.90,328.40,334.90,347.23,5,0
45,1,115.31,338.57,339.07,340.57,356.42,5,5
46,3,117.97,121.61,122.11,123.61,137.96,1,1
47,1,126.88,277.07,277.57,279.07,298.14,0,0
48,2,129.04,132.91,133.41,134.91,153.25,1,1
49,1,132.05,150.27,150.77,152.27,167.03,0,0
50,3,135.11,137.96,138.46,140.96,153.69,2,1
51,4,135.67,247.69,248.19,249.69,264.54,4,4
52,1,140.06,206.02,206.52,208.02,223.83,0,0
53,2,140.89,167.47,167.97,169.47,187.18,1,1
54,0,141.10,144.87,145.37,146.87,163.62,3,3
55,4,141.67,264.54,265.04,266.54,281.68,4,4
56,2,145.68,153.25,153.75,155.25,167.47,1,1
57,0,146.05,354.90,355.40,356.90,374.84,5,5
58,4,150.56,217.24,217.74,220.24,232.48,4,3
59,1,151.37,238.31,238.81,240.31,257.50,0,0
60,3,152.03,153.69,154.19,156.69,171.03,1,2
61,3,152.78,287.82,288.32,289.82,309.16,0,0
62,1,156.79,167.03,167.53,169.03,179.74,0,0
63,0,158.33,163.62,164.12,165.62,176.73,3,3
64,4,163.48,164.98,165.48,167.98,178.28,3,2
65,0,163.84,176.73,177.23,178.73,194.72,3,3
66,4,165.64,178.28,178.78,180.28,199.72,3,3
67,2,167.65,187.18,187.68,189.18,204.28,1,1
68,3,169.39,171.03,171.53,173.03,184.31,1,1
69,2,170.13,347.23,347.73,349.23,368.25,5,5
70,2,170.45,204.28,204.78,207.28,222.22,2,1
71,0,172.15,277.02,277.52,280.02,296.38,4,3
72,3,172.23,184.31,184.81,186.31,197.61,1,1
73,0,174.76,194.72,195.22,196.72,215.97,3,3
74,1,174.78,179.74,180.24,181.74,193.44,0,0
75,3,176.24,267.50,268.00,269.50,287.82,0,0
76,1,178.71,257.50,258.00,259.50,277.07,0,0
77,0,184.06,234.61,235.11,236.61,256.47,3,3
78,1,185.46,193.44,193.94,195.44,206.02,0,0
79,3,186.88,309.16,309.66,316.16,327.51,5,0
80,1,187.06,319.52,320.02,326.52,338.57,5,0
81,3,187.18,197.61,198.11,200.61,215.32,2,1
82,4,187.21,281.68,282.18,283.68,300.84,4,4
83,1,188.87,298.14,298.64,300.14,319.52,0,0
84,2,190.37,222.22,222.72,224.22,243.33,2,2
85,4,194.89,199.72,200.22,201.72,217.24,3,3
86,0,196.47,316.48,316.98,318.48,337.35,4,4
87,0,198.48,337.35,337.85,340.35,354.90,5,4
88,3,199.93,215.32,215.82,217.32,235.54,2,2
89,2,201.08,304.93,305.43,307.93,327.90,0,1
90,1,210.11,223.83,224.33,225.83,238.31,0,0
91,2,211.06,243.33,243.83,245.33,264.46,2,2
92,0,212.93,215.97,216.47,217.97,234.61,3,3
93,2,216.94,284.82,285.32,286.82,304.93,1,1
94,2,218.04,264.46,264.96,267.46,284.82,1,2
95,3,235.14,235.54,236.04,237.54,252.75,2,2
96,4,245.19,343.11,343.61,346.11,362.70,5,4
97,3,246.59,252.75,253.25,256.75,267.50,0,2
98,0,250.88,256.47,256.97,258.47,277.02,3,3
99,3,251.88,327.51,328.01,329.51,343.02,5,5
